id,content,tags
1,"Always keep learning",personal growth,education,lifelong learning
2,"Exercise regularly for better health",health,fitness,wellness
3,"Practice mindfulness meditation",mental health,stress relief,mindfulness
4,"Save at least 20% of your income",finance,savings,budgeting
5,"Read books from various genres",education,personal growth,hobbies
6,"Stay hydrated throughout the day",health,wellness,nutrition
7,"Network with professionals in your field",career,networking,professional development
8,"Learn a new language",education,personal growth,communication
9,"Practice gratitude daily",mental health,positivity,mindfulness
10,"Invest in index funds for long-term growth",finance,investing,wealth building
